,X,CH1,CH2,CH3
0,2.51e-05,,,
1,2.5104e-05,,,
2,2.5108e-05,,,
3,2.5112e-05,,,
4,2.5116e-05,,,
5,2.512e-05,,,
6,2.5124e-05,,,
7,2.5128e-05,,,
8,2.5132e-05,,,
9,2.5136e-05,-0.0048000000000000004,31.8,45.0
10,2.514e-05,-0.0048000000000000004,31.8,45.0
11,2.5144000000000002e-05,-0.0048000000000000004,31.8,45.0
12,2.5148e-05,-0.005599999999999999,31.8,44.980000000000004
13,2.5152e-05,-0.0056,31.8,44.980000000000004
14,2.5156e-05,-0.0064,31.8,44.980000000000004
15,2.516e-05,-0.0064,31.8,44.980000000000004
16,2.5164e-05,-0.0064,31.8,44.980000000000004
17,2.5168e-05,-0.0064,31.8,44.980000000000004
18,2.5172e-05,-0.0064,31.8,44.980000000000004
19,2.5176e-05,-0.0056,31.8,44.980000000000004
20,2.518e-05,-0.005600000000000001,31.8,44.96
21,2.5184e-05,-0.0056,31.8,44.96
22,2.5188e-05,-0.0048000000000000004,31.8,44.959999999999994
23,2.5192e-05,-0.0048000000000000004,31.8,44.959999999999994
24,2.5196e-05,-0.004,31.8,44.959999999999994
25,2.52e-05,-0.004,31.8,44.94
26,2.5204e-05,-0.0048000000000000004,31.8,44.94
27,2.5208e-05,-0.0048000000000000004,31.8,44.94
28,2.5212000000000002e-05,-0.0048000000000000004,31.8,44.92
29,2.5216e-05,-0.0048000000000000004,31.8,44.92
30,2.522e-05,-0.0048000000000000004,31.8,44.94
31,2.5224e-05,-0.0056,31.8,44.919999999999995
32,2.5228e-05,-0.005600000000000001,31.8,44.94
33,2.5232e-05,-0.0056,31.8,44.94
34,2.5236e-05,-0.0064,31.8,44.94
35,2.524e-05,-0.0064,31.8,44.96
36,2.5244e-05,-0.0064,31.8,44.94
37,2.5248e-05,-0.0064,31.8,44.94
38,2.5252e-05,-0.0064,31.8,44.94
39,2.5256e-05,-0.0064,31.8,44.92
40,2.526e-05,-0.0064,31.8,44.92
41,2.5264e-05,-0.0056,31.8,44.919999999999995
42,2.5268e-05,-0.005600000000000001,31.8,44.89999999999999
43,2.5272e-05,-0.0056,31.8,44.9
44,2.5276e-05,-0.0048000000000000004,31.8,44.88
45,2.5280000000000002e-05,-0.0048000000000000004,31.8,44.879999999999995
46,2.5284e-05,-0.004,31.8,44.88
47,2.5288e-05,-0.004,31.8,44.86
48,2.5292e-05,-0.004,31.8,44.86
49,2.5296e-05,-0.004,31.8,44.86
50,2.5300000000000002e-05,-0.004,31.880000000000003,44.839999999999996
51,2.5304e-05,-0.004,31.880000000000003,44.86
52,2.5308e-05,-0.004,31.880000000000003,44.86
53,2.5312e-05,-0.004,31.880000000000003,44.839999999999996
54,2.5316e-05,-0.004,31.879999999999995,44.839999999999996
55,2.532e-05,-0.004,31.880000000000003,44.839999999999996
56,2.5324e-05,-0.004,31.880000000000003,44.839999999999996
57,2.5328e-05,-0.004,31.880000000000003,44.839999999999996
58,2.5332e-05,-0.004,31.880000000000003,44.839999999999996
59,2.5336e-05,-0.004,31.880000000000003,44.839999999999996
60,2.534e-05,-0.004,31.8,44.839999999999996
61,2.5344e-05,-0.004,31.8,44.81999999999999
62,2.5348000000000002e-05,-0.004,31.880000000000003,44.82
63,2.5352e-05,-0.004,31.880000000000003,44.82
64,2.5356e-05,-0.004,31.879999999999995,44.82
65,2.536e-05,-0.004,31.880000000000003,44.8
66,2.5364e-05,-0.004,31.880000000000003,44.8
67,2.5368000000000002e-05,-0.004,31.880000000000003,44.8
68,2.5372e-05,-0.004,31.880000000000003,44.8
69,2.5376e-05,-0.004,31.879999999999995,44.8
70,2.538e-05,-0.004,31.880000000000003,44.8
71,2.5384e-05,-0.004,31.880000000000003,44.8
72,2.5388e-05,-0.004,31.8,44.8
73,2.5392e-05,-0.004,31.8,44.8
74,2.5396e-05,-0.004,31.8,44.8
75,2.54e-05,-0.004,31.8,44.8
76,2.5404e-05,-0.004,31.8,44.8
77,2.5408e-05,-0.004,31.8,44.8
78,2.5412e-05,-0.004,31.8,44.8
79,2.5416000000000002e-05,-0.004,31.8,44.8
80,2.542e-05,-0.004,31.8,44.8
81,2.5424e-05,-0.004,31.8,44.8
82,2.5428e-05,-0.004,31.8,44.8
83,2.5432e-05,-0.004,31.8,44.8
84,2.5436000000000002e-05,-0.004,31.8,44.8
85,2.544e-05,-0.004,31.8,44.8
86,2.5444e-05,-0.004,31.8,44.8
87,2.5448e-05,-0.004,31.8,44.8
88,2.5452e-05,-0.004,31.8,44.8
89,2.5456e-05,-0.004,31.8,44.8
90,2.546e-05,-0.004,31.8,44.8
91,2.5464e-05,-0.004,31.8,44.8
92,2.5468e-05,-0.004,31.8,44.8
93,2.5472e-05,-0.004,31.8,44.8
94,2.5476e-05,-0.004,31.8,44.8
95,2.548e-05,-0.004,31.8,44.8
96,2.5484000000000002e-05,-0.004,31.8,44.8
97,2.5488e-05,-0.004,31.8,44.8
98,2.5492e-05,-0.004,31.8,44.8
99,2.5496e-05,-0.004,31.8,44.8
100,2.55e-05,-0.004,31.8,44.8
101,2.5504000000000002e-05,-0.004,31.8,44.8
102,2.5508e-05,-0.0048000000000000004,31.8,44.8
103,2.5512e-05,-0.0048000000000000004,31.8,44.8
104,2.5516e-05,-0.0048000000000000004,31.8,44.8
105,2.552e-05,-0.0048000000000000004,31.8,44.8
106,2.5524e-05,-0.0048000000000000004,31.8,44.8
107,2.5528e-05,-0.0048000000000000004,31.8,44.8
108,2.5532e-05,-0.0048000000000000004,31.8,44.76
109,2.5536e-05,-0.0048000000000000004,31.8,44.76
110,2.554e-05,-0.0048000000000000004,31.8,44.71999999999999
111,2.5544e-05,-0.0048000000000000004,31.8,44.72
112,2.5548e-05,-0.004,31.8,44.72
113,2.5552e-05,-0.004,31.8,44.72
114,2.5556e-05,-0.004,31.8,44.71999999999999
115,2.556e-05,-0.004,31.8,44.72
116,2.5564e-05,-0.004,31.8,44.72
117,2.5568e-05,-0.004,31.8,44.72
118,2.5572000000000002e-05,-0.004,31.8,44.72
119,2.5576e-05,-0.004,31.8,44.67999999999999
120,2.558e-05,-0.004,31.8,44.72
121,2.5584e-05,-0.004,31.8,44.72
122,2.5588e-05,-0.004,31.8,44.72
123,2.5592e-05,-0.004,31.8,44.67999999999999
124,2.5596e-05,-0.004,31.8,44.68
125,2.56e-05,-0.004,31.8,44.68
126,2.5604e-05,-0.004,31.8,44.64
127,2.5608e-05,-0.004,31.8,44.599999999999994
128,2.5612e-05,-0.004,31.8,44.64
129,2.5616e-05,-0.004,31.8,44.64
130,2.562e-05,-0.004,31.8,44.6
131,2.5624e-05,-0.004,31.8,44.6
132,2.5628e-05,-0.004,31.8,44.559999999999995
133,2.5632e-05,-0.004,31.8,44.559999999999995
134,2.5636e-05,-0.004,31.8,44.559999999999995
135,2.5640000000000002e-05,-0.004,31.8,44.519999999999996
136,2.5644e-05,-0.004,31.8,44.519999999999996
137,2.5648e-05,-0.004,31.8,44.519999999999996
138,2.5652e-05,-0.004,31.8,44.480000000000004
139,2.5656e-05,-0.004,31.8,44.48
140,2.566e-05,-0.004,31.8,44.519999999999996
141,2.5664e-05,-0.004,31.8,44.48
142,2.5668e-05,-0.004,31.8,44.48
143,2.5672e-05,-0.004,31.8,44.480000000000004
144,2.5676e-05,-0.004,31.8,44.44
145,2.568e-05,-0.004,31.8,44.480000000000004
146,2.5684e-05,-0.004,31.8,44.48
147,2.5688e-05,-0.004,31.8,44.480000000000004
148,2.5692e-05,-0.004,31.8,44.48
149,2.5696e-05,-0.004,31.8,44.48
150,2.57e-05,-0.004,31.8,44.44
151,2.5704e-05,-0.004,31.8,44.44
152,2.5708000000000002e-05,-0.004,31.8,44.440000000000005
153,2.5712e-05,-0.004,31.8,44.44
154,2.5716e-05,-0.004,31.8,44.44
155,2.572e-05,-0.004,31.8,44.4
156,2.5724e-05,-0.004,31.8,44.4
157,2.5728e-05,-0.004,31.8,44.4
158,2.5732e-05,-0.004,31.8,44.4
159,2.5736e-05,-0.004,31.8,44.4
160,2.574e-05,-0.004,31.8,44.4
161,2.5744e-05,-0.004,31.8,44.4
162,2.5748e-05,-0.004,31.8,44.4
163,2.5752e-05,-0.004,31.8,44.4
