,X,CH1,CH2
168,6.0174e-05,0.0,29.6
169,6.0176e-05,0.0,29.6
170,6.0178e-05,0.0,30.4
171,6.0179999999999996e-05,0.008,30.4
172,6.0182e-05,0.0,30.4
173,6.0184e-05,0.0,30.4
174,6.0185999999999996e-05,0.0,31.2
175,6.0188e-05,0.0,31.2
176,6.019e-05,-0.008,31.2
177,6.0191999999999996e-05,-0.008,31.2
178,6.0194e-05,-0.016,32.0
179,6.0196e-05,-0.008,32.0
180,6.0198e-05,-0.024,32.0
181,6.02e-05,-0.024,32.0
182,6.0202e-05,-0.024,32.8
183,6.0204e-05,-0.024,32.8
184,6.0206e-05,-0.032,32.8
185,6.0208e-05,-0.032,32.8
186,6.021e-05,-0.032,32.8
187,6.0212e-05,-0.032,32.8
188,6.0213999999999996e-05,-0.032,32.8
189,6.0216e-05,-0.032,32.8
190,6.0218e-05,-0.04,32.8
191,6.0219999999999996e-05,-0.032,32.8
192,6.0222e-05,-0.032,32.8
193,6.0224e-05,-0.032,32.8
194,6.0225999999999996e-05,-0.032,32.0
195,6.0228e-05,-0.024,32.0
196,6.023e-05,-0.024,32.0
197,6.0232e-05,-0.024,32.0
198,6.0234e-05,-0.024,32.0
199,6.0236e-05,-0.016,32.0
200,6.0238e-05,-0.016,31.2
201,6.024e-05,-0.016,31.2
202,6.0242e-05,-0.016,31.2
203,6.0244e-05,-0.008,31.2
204,6.0246e-05,-0.016,31.2
205,6.0247999999999996e-05,-0.008,31.2
206,6.025e-05,-0.016,31.2
207,6.0252e-05,-0.008,31.2
208,6.0253999999999996e-05,-0.008,31.2
209,6.0256e-05,-0.008,31.2
210,6.0258e-05,-0.016,31.2
211,6.0259999999999996e-05,-0.008,31.2
212,6.0262e-05,-0.016,31.2
213,6.0264e-05,-0.016,31.2
214,6.0266e-05,-0.016,31.2
215,6.0268e-05,-0.008,31.2
216,6.027e-05,-0.016,31.2
217,6.0272e-05,-0.016,32.0
218,6.0274e-05,-0.016,32.0
219,6.0276e-05,-0.016,32.0
220,6.0278e-05,-0.024,32.0
221,6.028e-05,-0.016,32.0
222,6.0281999999999996e-05,-0.024,32.0
223,6.0284e-05,-0.016,32.0
224,6.0286e-05,-0.024,32.0
225,6.0287999999999996e-05,-0.024,32.0
226,6.029e-05,-0.024,32.0
227,6.0292e-05,-0.016,32.0
228,6.0293999999999996e-05,-0.024,32.0
229,6.0296e-05,-0.024,32.0
230,6.0298e-05,-0.024,32.0
231,6.03e-05,-0.016,32.0
232,6.0302e-05,-0.024,32.0
233,6.0304e-05,-0.016,32.0
234,6.0306e-05,-0.024,32.0
235,6.0308e-05,-0.016,32.0
236,6.031e-05,-0.024,32.0
237,6.0312e-05,-0.016,32.0
238,6.0314e-05,-0.016,32.0
239,6.0315999999999996e-05,-0.016,31.2
240,6.0318e-05,-0.016,31.2
241,6.032e-05,-0.016,31.2
242,6.0321999999999996e-05,-0.016,31.2
243,6.0324e-05,-0.008,31.2
244,6.0326e-05,-0.016,31.2
245,6.0327999999999996e-05,-0.016,31.2
246,6.033e-05,-0.016,31.2
247,6.0332e-05,-0.008,31.2
248,6.0333999999999995e-05,-0.016,31.2
249,6.0336e-05,-0.016,31.2
250,6.0338e-05,-0.016,31.2
251,6.034e-05,-0.008,31.2
252,6.0342e-05,-0.016,31.2
253,6.0344e-05,-0.016,31.2
254,6.0346e-05,-0.016,32.0
255,6.0348e-05,-0.008,32.0
256,6.0349999999999996e-05,-0.016,32.0
257,6.0352e-05,-0.016,32.0
258,6.0354e-05,-0.016,32.0
259,6.0355999999999996e-05,-0.008,32.0
260,6.0358e-05,-0.016,32.0
261,6.036e-05,-0.016,32.0
262,6.0361999999999996e-05,-0.016,32.0
263,6.0364e-05,-0.016,32.0
264,6.0366e-05,-0.016,32.0
265,6.0368e-05,-0.016,32.0
266,6.037e-05,-0.016,32.0
267,6.0372e-05,-0.016,32.0
268,6.0374e-05,-0.016,32.0
269,6.0376e-05,-0.016,32.0
270,6.0378e-05,-0.016,32.0
271,6.038e-05,-0.016,32.0
272,6.0382e-05,-0.016,31.2
273,6.0383999999999996e-05,-0.016,31.2
274,6.0386e-05,-0.016,32.0
275,6.0388e-05,-0.008,31.2
276,6.0389999999999996e-05,-0.016,31.2
277,6.0392e-05,-0.016,31.2
278,6.0394e-05,-0.016,31.2
279,6.0395999999999996e-05,-0.008,31.2
280,6.0398e-05,-0.016,31.2
281,6.04e-05,-0.016,31.2
282,6.0401999999999995e-05,-0.016,31.2
283,6.0404e-05,-0.016,31.2
284,6.0406e-05,-0.016,31.2
285,6.0408e-05,-0.008,31.2
286,6.041e-05,-0.016,31.2
287,6.0412e-05,-0.008,31.2
288,6.0414e-05,-0.016,31.2
289,6.0416e-05,-0.016,31.2
290,6.0417999999999997e-05,-0.016,31.2
291,6.042e-05,-0.008,31.2
292,6.0422e-05,-0.016,31.2
293,6.0423999999999996e-05,-0.016,31.2
294,6.0426e-05,-0.016,31.2
295,6.0428e-05,-0.008,31.2
296,6.0429999999999996e-05,-0.016,31.2
297,6.0432e-05,-0.016,31.2
298,6.0434e-05,-0.016,31.2
299,6.0436e-05,-0.008,31.2
300,6.0438e-05,-0.016,31.2
301,6.044e-05,-0.016,31.2
302,6.0442e-05,-0.016,31.2
303,6.0444e-05,-0.008,31.2
304,6.0446e-05,-0.016,31.2
305,6.0448e-05,-0.016,31.2
306,6.045e-05,-0.016,31.2
307,6.0451999999999997e-05,-0.008,31.2
308,6.0454e-05,-0.016,31.2
309,6.0456e-05,-0.016,31.2
310,6.0457999999999996e-05,-0.016,31.2
311,6.046e-05,-0.008,31.2
312,6.0462e-05,-0.016,31.2
313,6.0463999999999996e-05,-0.016,31.2
314,6.0466e-05,-0.016,31.2
315,6.0468e-05,-0.008,31.2
316,6.0469999999999995e-05,-0.016,31.2
317,6.0472e-05,-0.016,31.2
318,6.0474e-05,-0.016,31.2
319,6.0476e-05,-0.008,31.2
320,6.0478e-05,-0.016,31.2
321,6.048e-05,-0.016,31.2
322,6.0482e-05,-0.016,31.2
323,6.0484e-05,-0.008,31.2
324,6.0485999999999997e-05,-0.016,31.2
325,6.0488e-05,-0.016,31.2
326,6.049e-05,-0.016,31.2
327,6.0491999999999996e-05,-0.008,31.2
328,6.0494e-05,-0.016,31.2
329,6.0496e-05,-0.016,31.2
330,6.0497999999999996e-05,-0.016,31.2
331,6.05e-05,-0.008,31.2
332,6.0502e-05,-0.016,31.2
333,6.0504e-05,-0.016,31.2
334,6.0506e-05,-0.016,31.2
335,6.0508e-05,-0.008,31.2
336,6.051e-05,-0.016,31.2
337,6.0512e-05,-0.016,31.2
338,6.0514e-05,-0.016,31.2
339,6.0516e-05,-0.008,31.2
340,6.0518e-05,-0.016,31.2
341,6.0519999999999997e-05,-0.016,31.2
342,6.0522e-05,-0.016,31.2
343,6.0524e-05,-0.008,31.2
344,6.0525999999999996e-05,-0.016,31.2
345,6.0528e-05,-0.016,31.2
346,6.053e-05,-0.016,31.2
347,6.0531999999999996e-05,-0.008,31.2
348,6.0534e-05,-0.016,31.2
349,6.0536e-05,-0.016,31.2
350,6.0537999999999995e-05,-0.016,31.2
351,6.054e-05,-0.008,31.2
352,6.0542e-05,-0.016,31.2
353,6.0544e-05,-0.016,31.2
354,6.0546e-05,-0.016,31.2
355,6.0548e-05,-0.008,31.2
356,6.055e-05,-0.016,31.2
357,6.0552e-05,-0.016,31.2
358,6.0553999999999997e-05,-0.016,31.2
359,6.0556e-05,-0.008,31.2
360,6.0558e-05,-0.016,31.2
361,6.0559999999999996e-05,-0.016,31.2
362,6.0562e-05,-0.016,31.2
363,6.0564e-05,-0.008,31.2
364,6.0565999999999996e-05,-0.016,31.2
365,6.0568e-05,-0.016,31.2
366,6.057e-05,-0.016,31.2
367,6.0572e-05,-0.008,31.2
368,6.0574e-05,-0.016,31.2
369,6.0576e-05,-0.016,31.2
370,6.0578e-05,-0.016,31.2
371,6.058e-05,-0.008,31.2
372,6.0582e-05,-0.016,31.2
373,6.0584e-05,-0.016,31.2
374,6.0586e-05,-0.016,31.2
375,6.0587999999999997e-05,-0.008,31.2
376,6.059e-05,-0.016,31.2
377,6.0592e-05,-0.016,31.2
378,6.0593999999999996e-05,-0.016,31.2
379,6.0596e-05,-0.008,31.2
380,6.0598e-05,-0.016,31.2
