,X,CH1,CH2
170,6.008e-05,-0.376,52.0
171,6.0082e-05,-0.368,47.2
172,6.0084e-05,-0.344,43.2
173,6.0086e-05,-0.312,39.2
174,6.0088e-05,-0.264,34.4
175,6.009e-05,-0.216,30.4
176,6.0092e-05,-0.168,27.2
177,6.0094e-05,-0.112,23.2
178,6.0096e-05,-0.064,20.8
179,6.0098e-05,-0.008,19.2
180,6.0100000000000004e-05,0.032,17.6
181,6.0102e-05,0.08,16.0
182,6.0104e-05,0.112,15.2
183,6.0106000000000004e-05,0.152,14.4
184,6.0108e-05,0.168,14.4
185,6.011e-05,0.192,14.4
186,6.0112e-05,0.208,14.4
187,6.0114e-05,0.232,15.2
188,6.0116e-05,0.224,16.0
189,6.0118e-05,0.232,16.8
190,6.012e-05,0.224,18.4
191,6.0122e-05,0.232,20.0
192,6.0124e-05,0.208,21.6
193,6.0126e-05,0.192,24.0
194,6.0128e-05,0.168,27.2
195,6.013e-05,0.152,30.4
196,6.0132e-05,0.112,33.6
197,6.0134000000000004e-05,0.072,37.6
198,6.0136e-05,0.016,41.6
199,6.0138e-05,-0.016,44.8
200,6.0140000000000004e-05,-0.072,47.2
201,6.0142e-05,-0.128,50.4
202,6.0144e-05,-0.168,52.8
203,6.0146e-05,-0.208,53.6
204,6.0148e-05,-0.248,53.6
205,6.015e-05,-0.272,53.6
206,6.0152e-05,-0.288,52.0
207,6.0154e-05,-0.296,50.4
208,6.0156e-05,-0.312,47.2
209,6.0158e-05,-0.288,44.0
210,6.016e-05,-0.272,40.8
211,6.0162e-05,-0.248,37.6
212,6.0164e-05,-0.216,33.6
213,6.0166e-05,-0.184,31.2
214,6.0168000000000004e-05,-0.144,28.0
215,6.017e-05,-0.088,25.6
216,6.0172e-05,-0.056,22.4
217,6.0174000000000004e-05,-0.016,20.8
218,6.0176e-05,0.016,19.2
219,6.0178e-05,0.072,18.4
220,6.018e-05,0.096,17.6
221,6.0182e-05,0.12,16.8
222,6.0184e-05,0.136,16.8
223,6.0186e-05,0.168,16.8
224,6.0188e-05,0.176,16.8
225,6.019e-05,0.184,17.6
226,6.0192e-05,0.184,18.4
227,6.0194e-05,0.2,19.2
228,6.0196e-05,0.184,20.0
229,6.0198e-05,0.184,22.4
230,6.02e-05,0.168,24.0
231,6.0202000000000004e-05,0.16,26.4
232,6.0204e-05,0.136,28.8
233,6.0206e-05,0.112,31.2
234,6.0208000000000004e-05,0.072,34.4
235,6.021e-05,0.04,37.6
236,6.0212e-05,0.0,40.8
237,6.0214e-05,-0.04,42.4
238,6.0216e-05,-0.072,44.8
239,6.0218e-05,-0.104,46.4
240,6.022e-05,-0.152,48.0
241,6.0222e-05,-0.184,49.6
242,6.0224e-05,-0.208,49.6
243,6.0226e-05,-0.232,48.0
244,6.0228e-05,-0.24,47.2
245,6.023e-05,-0.248,45.6
246,6.0232e-05,-0.248,44.0
247,6.0234e-05,-0.24,41.6
248,6.0236e-05,-0.224,39.2
249,6.0238e-05,-0.2,35.2
250,6.024e-05,-0.176,32.8
251,6.0242000000000004e-05,-0.144,30.4
252,6.0244e-05,-0.104,28.0
253,6.0246e-05,-0.072,26.4
254,6.0248e-05,-0.04,24.0
255,6.025e-05,0.0,22.4
256,6.0252e-05,0.024,20.8
257,6.0254e-05,0.048,20.0
258,6.0256e-05,0.08,19.2
259,6.0258e-05,0.112,19.2
260,6.026e-05,0.12,18.4
261,6.0262e-05,0.136,19.2
262,6.0264e-05,0.144,19.2
263,6.0266e-05,0.16,20.0
264,6.0268e-05,0.16,20.8
265,6.0270000000000004e-05,0.16,21.6
266,6.0272e-05,0.152,22.4
267,6.0274e-05,0.152,24.0
268,6.0276000000000004e-05,0.136,26.4
269,6.0278e-05,0.12,28.8
270,6.028e-05,0.096,30.4
271,6.0282e-05,0.08,32.8
272,6.0284e-05,0.04,34.4
273,6.0286e-05,0.016,37.6
274,6.0288e-05,-0.016,40.0
275,6.029e-05,-0.04,41.6
276,6.0292e-05,-0.072,43.2
277,6.0294e-05,-0.104,44.0
278,6.0296e-05,-0.136,44.8
279,6.0298e-05,-0.152,45.6
280,6.03e-05,-0.176,45.6
281,6.0302e-05,-0.192,44.8
282,6.0304e-05,-0.2,44.0
283,6.0306e-05,-0.2,42.4
284,6.0308e-05,-0.2,40.8
285,6.0310000000000004e-05,-0.192,38.4
286,6.0312e-05,-0.176,36.0
287,6.0314e-05,-0.152,34.4
288,6.0316e-05,-0.136,32.0
289,6.0318e-05,-0.104,30.4
290,6.032e-05,-0.08,28.0
291,6.0322e-05,-0.048,26.4
292,6.0324e-05,-0.024,24.0
293,6.0326e-05,0.0,23.2
294,6.0328e-05,0.024,22.4
295,6.033e-05,0.056,21.6
296,6.0332e-05,0.072,20.8
297,6.0334e-05,0.096,20.8
298,6.0336e-05,0.104,20.8
299,6.0338000000000004e-05,0.128,20.8
300,6.034e-05,0.12,21.6
301,6.0342e-05,0.128,21.6
302,6.0344000000000004e-05,0.128,22.4
303,6.0346e-05,0.136,23.2
304,6.0348e-05,0.12,25.6
305,6.035e-05,0.12,27.2
306,6.0352e-05,0.104,28.8
307,6.0354e-05,0.096,29.6
308,6.0356e-05,0.072,32.0
309,6.0358e-05,0.048,33.6
310,6.036e-05,0.016,35.2
311,6.0362e-05,0.0,37.6
312,6.0364e-05,-0.024,39.2
313,6.0366e-05,-0.048,40.0
314,6.0368e-05,-0.072,41.6
315,6.037e-05,-0.096,42.4
316,6.0372e-05,-0.128,42.4
317,6.0374e-05,-0.144,42.4
318,6.0376e-05,-0.152,42.4
319,6.0378000000000004e-05,-0.16,41.6
320,6.038e-05,-0.168,40.8
321,6.0382e-05,-0.168,40.0
322,6.0384e-05,-0.16,38.4
323,6.0386e-05,-0.152,36.0
324,6.0388e-05,-0.144,34.4
325,6.039e-05,-0.112,32.8
326,6.0392e-05,-0.096,31.2
327,6.0394e-05,-0.072,29.6
328,6.0396e-05,-0.056,28.0
329,6.0398e-05,-0.032,27.2
330,6.04e-05,-0.016,25.6
331,6.0402e-05,0.016,24.0
332,6.0404e-05,0.024,23.2
333,6.0406000000000004e-05,0.048,23.2
334,6.0408e-05,0.056,22.4
335,6.041e-05,0.088,22.4
336,6.0412000000000004e-05,0.088,22.4
337,6.0414e-05,0.096,22.4
338,6.0416e-05,0.104,23.2
339,6.0418e-05,0.112,24.0
340,6.042e-05,0.104,24.0
341,6.0422e-05,0.104,26.4
342,6.0424e-05,0.096,27.2
343,6.0426e-05,0.096,28.0
344,6.0428e-05,0.072,29.6
345,6.043e-05,0.056,31.2
346,6.0432e-05,0.04,32.8
347,6.0434e-05,0.024,33.6
348,6.0436e-05,0.0,35.2
349,6.0438e-05,-0.016,37.6
350,6.044e-05,-0.04,38.4
351,6.0442e-05,-0.048,39.2
352,6.0444e-05,-0.072,40.0
353,6.0446000000000004e-05,-0.088,40.8
354,6.0448e-05,-0.104,40.8
355,6.045e-05,-0.112,40.8
356,6.0452e-05,-0.136,40.0
357,6.0454e-05,-0.136,39.2
358,6.0456e-05,-0.136,38.4
359,6.0458e-05,-0.136,37.6
360,6.046e-05,-0.128,36.0
361,6.0462e-05,-0.112,34.4
362,6.0464e-05,-0.104,33.6
363,6.0466e-05,-0.088,32.0
364,6.0468e-05,-0.072,30.4
365,6.047e-05,-0.056,29.6
366,6.0472e-05,-0.04,28.0
367,6.0474000000000004e-05,-0.016,27.2
368,6.0476e-05,-0.008,26.4
