,X,CH1,CH2,I
115,-1.937e-05,-0.057,27.7,-0.144
116,-1.9367999999999998e-05,-0.071,28.5,-0.37599999999999995
117,-1.9365999999999997e-05,-0.077,28.9,-0.6039999999999999
118,-1.9364e-05,-0.079,29.5,-0.8039999999999999
119,-1.9362e-05,-0.083,29.9,-0.9879999999999999
120,-1.9359999999999998e-05,-0.085,30.1,-1.156
121,-1.9358e-05,-0.083,30.1,-1.2959999999999998
122,-1.9356e-05,-0.079,29.7,-1.4
123,-1.9353999999999998e-05,-0.077,29.7,-1.4759999999999998
124,-1.9352e-05,-0.071,29.3,-1.5239999999999998
125,-1.935e-05,-0.061,28.7,-1.5319999999999998
126,-1.9348e-05,-0.053,28.1,-1.4959999999999998
127,-1.9345999999999997e-05,-0.041,27.5,-1.424
128,-1.9344e-05,-0.033,26.7,-1.3319999999999999
129,-1.9342e-05,-0.021,25.7,-1.2079999999999997
130,-1.9339999999999998e-05,-0.007,25.1,-1.052
131,-1.9338e-05,0.003,24.1,-0.8799999999999999
132,-1.9336e-05,0.011,23.5,-0.7
133,-1.9333999999999998e-05,0.021,22.7,-0.5039999999999999
134,-1.9331999999999997e-05,0.033,21.9,-0.296
135,-1.933e-05,0.039,21.5,-0.09599999999999996
136,-1.9328e-05,0.045,20.9,0.1
137,-1.9325999999999998e-05,0.053,20.3,0.288
138,-1.9324e-05,0.057,19.9,0.46799999999999997
139,-1.9322e-05,0.061,19.7,0.632
140,-1.9319999999999998e-05,0.059,19.5,0.764
141,-1.9318e-05,0.063,19.3,0.884
142,-1.9316e-05,0.061,19.3,0.984
143,-1.9314e-05,0.061,19.5,1.0639999999999998
144,-1.9311999999999997e-05,0.055,19.7,1.1079999999999999
145,-1.931e-05,0.053,19.7,1.136
146,-1.9308e-05,0.049,20.3,1.144
147,-1.9305999999999998e-05,0.041,20.7,1.12
148,-1.9304e-05,0.033,21.3,1.0719999999999998
149,-1.9302e-05,0.025,21.7,1.0
150,-1.9299999999999998e-05,0.015,22.3,0.9119999999999999
151,-1.9297999999999997e-05,0.007,22.9,0.8
152,-1.9296e-05,-0.005,23.7,0.6679999999999999
153,-1.9294e-05,-0.013,24.3,0.52
154,-1.9291999999999998e-05,-0.025,24.9,0.36000000000000004
155,-1.929e-05,-0.033,25.7,0.18800000000000003
156,-1.9288e-05,-0.043,26.5,0.004000000000000059
157,-1.9285999999999998e-05,-0.049,27.1,-0.17599999999999993
158,-1.9284e-05,-0.053,27.5,-0.348
159,-1.9282e-05,-0.057,28.1,-0.5119999999999999
160,-1.928e-05,-0.061,28.3,-0.6639999999999999
161,-1.9277999999999997e-05,-0.063,28.5,-0.8039999999999999
162,-1.9276e-05,-0.063,28.5,-0.9199999999999999
163,-1.9274e-05,-0.065,28.7,-1.0239999999999998
164,-1.9271999999999998e-05,-0.061,28.5,-1.0959999999999999
165,-1.927e-05,-0.057,28.3,-1.144
166,-1.9268e-05,-0.053,28.1,-1.164
167,-1.9265999999999998e-05,-0.047,27.7,-1.16
168,-1.9263999999999997e-05,-0.041,27.3,-1.1359999999999997
169,-1.9262e-05,-0.033,26.5,-1.0879999999999999
170,-1.926e-05,-0.021,25.9,-1.0079999999999998
171,-1.9257999999999998e-05,-0.013,25.3,-0.9079999999999998
172,-1.9256e-05,-0.007,24.7,-0.7959999999999999
173,-1.9254e-05,0.001,24.1,-0.6639999999999999
174,-1.9251999999999998e-05,0.011,23.5,-0.5199999999999999
175,-1.925e-05,0.019,22.7,-0.36799999999999994
176,-1.9248e-05,0.027,22.5,-0.2079999999999999
177,-1.9246e-05,0.031,21.7,-0.05199999999999995
178,-1.9243999999999997e-05,0.039,21.3,0.10800000000000005
179,-1.9242e-05,0.045,21.1,0.26400000000000007
180,-1.924e-05,0.043,20.7,0.392
181,-1.9237999999999998e-05,0.049,20.7,0.516
182,-1.9236e-05,0.049,20.3,0.628
183,-1.9234e-05,0.053,20.5,0.732
184,-1.9231999999999998e-05,0.049,20.3,0.808
185,-1.9229999999999997e-05,0.049,20.3,0.868
