,X,CH1,CH2
154,-2.9692e-05,-0.004,15.6
155,-2.9690000000000002e-05,-0.004,15.6
156,-2.9688e-05,-0.006,15.6
157,-2.9686e-05,-0.004,15.4
158,-2.9684000000000002e-05,-0.004,15.6
159,-2.9682e-05,-0.002,15.4
160,-2.968e-05,-0.006,15.4
161,-2.9678e-05,-0.004,15.4
162,-2.9676000000000002e-05,-0.006,15.4
163,-2.9674e-05,-0.006,15.2
164,-2.9672e-05,-0.006,15.4
165,-2.9670000000000002e-05,-0.006,15.2
166,-2.9668e-05,-0.004,15.2
167,-2.9666e-05,-0.004,15.0
168,-2.9664e-05,-0.004,15.2
169,-2.9662e-05,-0.002,15.2
170,-2.966e-05,-0.006,15.2
171,-2.9658e-05,-0.004,15.0
172,-2.9656000000000002e-05,-0.004,15.0
173,-2.9654e-05,-0.004,15.0
174,-2.9652e-05,-0.006,15.0
175,-2.9650000000000002e-05,-0.004,14.6
176,-2.9648e-05,-0.004,14.6
177,-2.9646e-05,-0.004,14.6
178,-2.9644e-05,-0.004,14.6
179,-2.9642000000000002e-05,-0.004,14.6
180,-2.964e-05,-0.006,14.6
181,-2.9638e-05,-0.006,14.4
182,-2.9636000000000002e-05,-0.006,14.4
183,-2.9634e-05,-0.004,14.2
184,-2.9632e-05,-0.004,14.4
185,-2.963e-05,-0.004,14.4
186,-2.9628e-05,-0.006,14.4
187,-2.9626e-05,-0.004,14.2
188,-2.9624e-05,-0.004,14.4
189,-2.9622000000000002e-05,-0.004,14.2
190,-2.962e-05,-0.004,14.2
191,-2.9618e-05,-0.004,14.0
192,-2.9616000000000002e-05,-0.002,14.2
193,-2.9614e-05,-0.004,14.2
194,-2.9612e-05,-0.006,14.2
195,-2.961e-05,-0.004,14.0
196,-2.9608000000000002e-05,-0.006,14.0
197,-2.9606e-05,-0.006,14.0
198,-2.9604e-05,-0.004,14.0
199,-2.9602000000000002e-05,-0.004,14.0
200,-2.96e-05,-0.004,14.0
201,-2.9598e-05,-0.002,13.8
202,-2.9596e-05,-0.004,13.8
203,-2.9594e-05,-0.006,13.6
204,-2.9592e-05,-0.006,13.8
205,-2.959e-05,-0.004,13.8
206,-2.9588000000000002e-05,-0.006,13.6
207,-2.9586e-05,-0.004,13.8
208,-2.9584e-05,-0.006,13.8
209,-2.9582000000000002e-05,-0.004,13.6
210,-2.958e-05,-0.006,13.6
211,-2.9578e-05,-0.006,13.6
212,-2.9576e-05,-0.006,13.6
213,-2.9574000000000002e-05,-0.006,13.6
214,-2.9572e-05,-0.004,13.6
215,-2.957e-05,-0.004,13.6
216,-2.9568000000000002e-05,-0.002,13.4
217,-2.9566e-05,-0.004,13.4
218,-2.9564e-05,-0.004,13.4
219,-2.9562e-05,-0.004,13.2
220,-2.956e-05,-0.004,13.4
221,-2.9558e-05,-0.004,13.4
222,-2.9556e-05,-0.004,13.2
223,-2.9554000000000002e-05,-0.004,13.2
224,-2.9552e-05,-0.004,13.2
225,-2.955e-05,-0.002,13.2
226,-2.9548000000000002e-05,-0.004,13.2
227,-2.9546e-05,-0.004,13.0
228,-2.9544e-05,-0.006,13.2
229,-2.9542e-05,-0.004,13.2
230,-2.9540000000000002e-05,-0.004,13.2
231,-2.9538e-05,-0.004,13.2
232,-2.9536e-05,-0.004,13.2
233,-2.9534000000000002e-05,-0.002,13.0
234,-2.9532e-05,-0.004,13.0
235,-2.953e-05,-0.004,13.0
236,-2.9528e-05,-0.006,13.0
237,-2.9526e-05,-0.004,13.0
238,-2.9524e-05,-0.006,13.0
239,-2.9522e-05,-0.004,13.0
240,-2.9520000000000002e-05,-0.004,13.0
241,-2.9518e-05,-0.002,13.0
242,-2.9516e-05,-0.004,13.0
243,-2.9514000000000002e-05,-0.002,12.8
244,-2.9512e-05,-0.004,12.8
245,-2.951e-05,-0.006,12.8
246,-2.9508e-05,-0.004,13.0
247,-2.9506000000000002e-05,-0.004,12.8
248,-2.9504e-05,-0.006,12.8
249,-2.9502e-05,-0.002,12.8
250,-2.9500000000000002e-05,-0.004,12.8
251,-2.9498e-05,-0.004,12.8
252,-2.9496e-05,-0.004,12.8
253,-2.9494e-05,-0.004,12.8
254,-2.9492e-05,-0.004,12.8
255,-2.949e-05,-0.004,12.8
256,-2.9488e-05,-0.004,12.8
257,-2.9486000000000002e-05,-0.004,12.8
258,-2.9484e-05,-0.004,12.8
259,-2.9482e-05,-0.004,12.6
260,-2.9480000000000002e-05,-0.004,12.8
261,-2.9478e-05,-0.004,12.8
262,-2.9476e-05,-0.004,12.8
263,-2.9474e-05,-0.002,12.6
264,-2.9472000000000002e-05,-0.006,12.6
265,-2.947e-05,-0.004,12.6
266,-2.9468e-05,-0.006,12.6
267,-2.9466000000000002e-05,-0.004,12.6
268,-2.9464e-05,-0.004,12.6
269,-2.9462e-05,-0.004,12.6
270,-2.946e-05,-0.004,12.8
271,-2.9458e-05,-0.004,12.6
272,-2.9456e-05,-0.004,12.8
273,-2.9454e-05,-0.002,12.6
274,-2.9452000000000002e-05,-0.004,12.6
275,-2.945e-05,-0.004,12.6
276,-2.9448e-05,-0.004,12.8
277,-2.9446000000000002e-05,-0.004,12.6
278,-2.9444e-05,-0.006,12.6
279,-2.9442e-05,-0.004,12.6
280,-2.944e-05,-0.002,12.6
281,-2.9438000000000002e-05,-0.004,12.6
282,-2.9436e-05,-0.004,12.8
283,-2.9434e-05,-0.002,12.6
284,-2.9432000000000002e-05,-0.004,12.6
285,-2.943e-05,-0.004,12.6
286,-2.9428e-05,-0.004,12.6
287,-2.9426e-05,-0.002,12.6
288,-2.9424e-05,-0.004,12.6
289,-2.9422e-05,-0.002,12.8
290,-2.942e-05,-0.004,12.6
291,-2.9418000000000002e-05,-0.004,12.6
292,-2.9416e-05,-0.006,12.8
293,-2.9414e-05,-0.004,12.8
294,-2.9412000000000002e-05,-0.002,12.6
295,-2.941e-05,-0.002,12.8
296,-2.9408e-05,-0.002,12.8
297,-2.9406e-05,-0.002,12.8
298,-2.9404000000000002e-05,-0.004,12.8
299,-2.9402e-05,-0.004,12.8
300,-2.94e-05,-0.004,12.8
301,-2.9398000000000002e-05,-0.004,12.8
302,-2.9396e-05,-0.004,12.8
303,-2.9394e-05,-0.006,12.8
