freq,mag,angle
100,-29.908438752098007,96.18708469132477
200,-24.825649216010316,92.677801707108287
300,-20.978478205695374,94.160954021845981
400,-18.578652434052888,96.885444811520514
500,-16.801420816792838,96.686854215771078
600,-15.166249561803635,102.84181645437671
700,-13.668713284602362,105.02733407686023
800,-12.144789754637486,109.83204051482079
900,-10.856741378269639,113.96751083034951
1000,-9.4322894299364339,115.03264413872475
1100,-7.9443087408693263,113.99798581981833
1200,-7.0790575730047873,111.62639837166212
1300,-6.6394061009268599,111.09532909522072
1400,-6.2464858544944715,111.16910872313198
1500,-5.9015385692788902,113.06773125656053
1600,-4.8120467528163999,118.35286991524485
1700,-3.8157962542813428,120.64699713601075
1800,-2.9449463901571877,118.99657068619516
1900,-2.2699072901859711,116.7585029740181
2000,-2.1725258372734788,117.22808403161275
2100,-1.9261303802381677,119.70170241763277
2200,-1.6185732444292507,122.79801187903101
2300,-0.6688839946851971,124.50059411907694
2400,0.077909896475894316,123.65585064049742
2500,0.41613625590886771,121.42263715469289
2600,0.3498686448443854,121.30589293742695
2700,0.51828970198526858,124.02205570154963
2800,1.1641426945676043,127.29365154728922
2900,1.9043093952855221,127.61373943138149
3000,2.2275001611588379,126.53908313531197
3100,2.4653646632039745,125.15232563556923
3200,2.4351277486669209,127.07811431642807
3300,2.8798613083622975,131.00050106078086
3400,3.6341043710342498,130.47557477827712
3500,3.9653463197155379,129.05896927530338
3600,3.8401653981554862,129.0036797311291
3700,3.8912776688384048,132.4873916580629
3800,4.5566161983436846,134.53162746244507
3900,5.2700402660577765,133.51680190397113
4000,5.2501431795993661,131.10866068931966
4100,4.9665491587292667,133.85352144769564
4200,5.5255365586214635,138.64333921123477
4300,6.2732951747225263,137.07244938979883
4400,6.2389492474597308,134.04314903303194
4500,6.0783741541154503,137.26808035903306
4600,6.5877046519093074,141.5259936574214
4700,7.4057805305206035,137.49313911737764
4800,6.7135134613257783,136.93850664383419
4900,6.8533502038169791,141.75197995068069
5000,7.8419013004517737,144.61765760833967
5100,8.0316162423095072,138.94794982823046
5200,7.4298955489705545,141.25215774563046
5300,8.1331112821499154,147.05595914888821
5400,8.9312312205012816,143.96030062580456
5500,8.3594420895458725,142.16303538258319
5600,8.3559649059016472,149.03575231485101
5700,9.4606044112450611,147.82168457776999
5800,9.0049543158367662,143.47874029696047
5900,8.8670918905800526,148.62122138296692
6000,9.8664795555778806,148.65994705330507
6100,9.7101740462563608,145.01890715308247
6200,9.344469586480745,149.56735684876185
6300,10.42639636929013,152.50839013716606
6400,10.298014195550117,147.67169402267257
6500,10.081853766898883,153.70202425405787
6600,11.14529251592047,155.01598579306045
6700,10.806738809806319,147.25052786703725
6800,10.622847590365133,155.72962068159273
6900,11.947886229636229,154.88318368802314
7000,10.808794022894368,150.37067202552893
7100,11.315569180811629,160.39339704137564
7200,12.546076428245856,154.04809927291842
7300,11.301932479589938,154.95754509646414
7400,12.429509854569719,161.85393887096913
7500,12.549420132430331,153.53274060375642
7600,11.8742410405293,160.03447695713427
7700,13.262087015995203,158.39251890857358
7800,12.104719142554314,158.3341192197951
7900,12.953168379575475,165.09069715549978
8000,13.323418632018214,156.11375186652973
8100,12.465358531200817,164.03840942749795
8200,14.239873109588942,161.95852536274069
8300,13.020753915174168,160.83593985226162
8400,13.797047024396766,171.31879449287663
8500,14.136722050361101,157.86233459875606
8600,13.536076710965759,167.6609506301634
8700,14.958880583214466,162.38023500112672
8800,13.592285410326767,166.81841594849018
8900,15.157465333013338,169.56307088016058
9000,14.185827627816918,163.26953666883949
9100,15.14628554065755,173.07289698008256
9200,14.333231094057432,162.02232811137193
9300,14.790707167255881,175.73530260307652
9400,15.283690832601408,164.82368415872085
9500,14.749808611988291,174.28624513243125
9600,15.74722566993486,165.93726770297386
9700,14.658511855404244,177.17663879394752
9800,16.498175752673287,168.08147516079032
9900,15.319470564766354,175.56316559514298
10000,16.169337605167001,169.58843694144585
11000,17.895858471265917,170.96699612464866
12000,16.933178516386938,184.64362640721251
13000,18.433529615687121,184.46314980459604
14000,19.934891762482003,196.31324121265123
15000,20.641435576686678,188.97653385986723
16000,20.867020558100229,188.92365270236374
17000,22.691240334857067,212.86015825544095
18000,23.650235559123072,226.7967450483024
19000,29.504326809076726,208.12955572662236
20000,22.057855677588122,224.66431346087666
21000,25.75732464241776,224.93632834480397
22000,27.68079086057498,219.42048316885848
23000,31.399924133665117,225.08159952279962
24000,24.19420360353687,208.22940687688887
25000,22.595969847010103,266.38226455179989
