,X,CH1,CH2
0,3.34e-05,0.06,0.2
1,3.3401999999999996e-05,0.06,0.2
2,3.3404e-05,0.06,0.2
3,3.3406e-05,0.06,0.2
4,3.3407999999999996e-05,0.06,0.2
5,3.341e-05,0.06,0.2
6,3.3412e-05,0.06,0.2
7,3.3413999999999996e-05,0.06,0.2
8,3.3416e-05,0.06,0.2
9,3.3418e-05,0.06,0.2
10,3.342e-05,0.06,0.2
11,3.3422e-05,0.06,0.2
12,3.3424e-05,0.068,0.6
13,3.3426e-05,0.06,0.2
14,3.3428e-05,0.06,0.2
15,3.343e-05,0.06,0.2
16,3.3432e-05,0.06,0.2
17,3.3434e-05,0.06,0.6
18,3.3435999999999996e-05,0.06,0.2
19,3.3438e-05,0.06,0.2
20,3.344e-05,0.06,0.2
21,3.3441999999999996e-05,0.06,0.2
22,3.3444e-05,0.068,0.2
23,3.3446e-05,0.06,0.2
24,3.3447999999999996e-05,0.06,0.2
25,3.345e-05,0.06,0.2
26,3.3452e-05,0.06,0.2
27,3.3454e-05,0.06,0.6
28,3.3456e-05,0.068,0.2
29,3.3458e-05,0.068,0.2
30,3.346e-05,0.068,0.2
31,3.3462e-05,0.06,0.2
32,3.3464e-05,0.068,0.6
33,3.3466e-05,0.06,0.2
34,3.3468e-05,0.068,0.2
35,3.3469999999999996e-05,0.068,0.2
36,3.3472e-05,0.06,0.2
37,3.3474e-05,0.068,0.2
38,3.3475999999999996e-05,0.06,0.2
39,3.3478e-05,0.06,0.2
40,3.348e-05,0.068,0.2
41,3.3481999999999996e-05,0.06,0.2
42,3.3484e-05,0.06,0.2
43,3.3486e-05,0.06,0.2
44,3.3488e-05,0.068,0.6
45,3.349e-05,0.068,0.2
46,3.3492e-05,0.068,0.2
47,3.3494e-05,0.068,0.2
48,3.3496e-05,0.068,0.2
49,3.3498e-05,0.068,0.6
50,3.35e-05,0.06,0.2
51,3.3502e-05,0.06,0.2
52,3.3503999999999996e-05,0.068,0.2
53,3.3506e-05,0.068,0.2
54,3.3508e-05,0.06,0.2
55,3.3509999999999996e-05,0.068,0.2
56,3.3512e-05,0.068,0.6
57,3.3514e-05,0.068,0.2
58,3.3515999999999996e-05,0.068,0.2
59,3.3518e-05,0.068,0.2
60,3.352e-05,0.068,0.2
61,3.3522e-05,0.068,0.2
62,3.3524e-05,0.068,0.2
63,3.3526e-05,0.068,0.2
64,3.3528e-05,0.068,0.2
65,3.353e-05,0.068,0.2
66,3.3532e-05,0.068,0.2
67,3.3534e-05,0.068,0.2
68,3.3536e-05,0.068,0.2
69,3.3537999999999996e-05,0.068,0.2
70,3.354e-05,0.068,0.2
71,3.3542e-05,0.068,0.2
72,3.3543999999999996e-05,0.068,0.2
73,3.3546e-05,0.068,0.2
74,3.3548e-05,0.068,0.2
75,3.3549999999999996e-05,0.068,0.2
76,3.3552e-05,0.068,0.2
77,3.3554e-05,0.068,0.2
78,3.3556e-05,0.068,0.2
79,3.3558e-05,0.068,0.2
80,3.356e-05,0.068,0.2
81,3.3562e-05,0.068,0.2
82,3.3564e-05,0.068,0.2
83,3.3566e-05,0.068,0.2
84,3.3568e-05,0.068,0.2
