,X,CH1,CH2
0,1.15e-05,-0.008,15.2
1,1.1502e-05,-0.008,15.2
2,1.1504e-05,-0.008,15.2
3,1.1506e-05,-0.016,16.0
4,1.1508e-05,-0.008,16.0
5,1.151e-05,-0.008,16.0
6,1.1512e-05,-0.016,16.0
7,1.1514e-05,-0.008,16.0
8,1.1516e-05,-0.008,16.0
9,1.1518e-05,-0.016,16.0
10,1.152e-05,-0.016,16.0
11,1.1522e-05,-0.016,16.0
12,1.1524e-05,-0.008,16.0
13,1.1526e-05,-0.008,16.8
14,1.1528e-05,-0.016,16.8
15,1.153e-05,-0.016,16.8
16,1.1532e-05,-0.008,16.8
17,1.1534e-05,-0.008,16.8
18,1.1536e-05,-0.008,16.8
19,1.1538e-05,-0.016,16.8
20,1.154e-05,-0.016,16.8
21,1.1542e-05,-0.008,16.8
22,1.1544e-05,-0.016,16.8
23,1.1546e-05,-0.016,17.6
24,1.1548e-05,-0.016,17.6
25,1.155e-05,-0.016,17.6
26,1.1552e-05,-0.008,17.6
27,1.1554e-05,-0.008,17.6
28,1.1556e-05,-0.008,17.6
29,1.1558e-05,-0.016,17.6
30,1.156e-05,-0.016,17.6
31,1.1562e-05,-0.016,17.6
32,1.1564e-05,-0.008,18.4
33,1.1566e-05,-0.008,18.4
34,1.1568e-05,-0.008,18.4
35,1.157e-05,-0.016,18.4
36,1.1572e-05,-0.016,18.4
37,1.1574e-05,-0.008,18.4
38,1.1576e-05,-0.016,18.4
39,1.1578e-05,-0.008,18.4
40,1.158e-05,-0.008,18.4
41,1.1582e-05,-0.016,18.4
42,1.1584e-05,-0.016,19.2
43,1.1586e-05,-0.016,19.2
44,1.1588e-05,-0.008,19.2
45,1.159e-05,-0.008,19.2
46,1.1592e-05,-0.016,19.2
47,1.1594e-05,-0.016,19.2
48,1.1596e-05,-0.008,19.2
49,1.1598e-05,-0.016,19.2
50,1.16e-05,-0.008,19.2
51,1.1602e-05,-0.016,20.0
52,1.1604e-05,-0.016,20.0
53,1.1606e-05,-0.008,20.0
54,1.1608e-05,-0.016,20.0
55,1.161e-05,-0.016,20.0
56,1.1612e-05,-0.008,20.0
57,1.1614e-05,-0.008,20.0
58,1.1616e-05,-0.016,20.0
59,1.1618e-05,-0.016,20.0
60,1.162e-05,-0.008,20.0
61,1.1622e-05,-0.008,20.8
62,1.1624e-05,-0.016,20.0
63,1.1626e-05,-0.016,20.8
64,1.1628e-05,-0.008,20.8
65,1.163e-05,-0.008,20.8
66,1.1632e-05,-0.008,20.8
67,1.1634e-05,-0.016,20.8
68,1.1636e-05,-0.008,20.8
69,1.1638e-05,-0.016,20.8
70,1.164e-05,-0.016,20.8
71,1.1642e-05,-0.016,20.8
72,1.1644e-05,-0.008,20.8
73,1.1646e-05,-0.016,21.6
74,1.1648e-05,-0.016,21.6
75,1.165e-05,-0.016,21.6
76,1.1652e-05,-0.008,21.6
77,1.1654e-05,-0.008,21.6
78,1.1656e-05,-0.016,21.6
79,1.1658e-05,-0.016,21.6
80,1.166e-05,-0.016,21.6
81,1.1662e-05,-0.016,21.6
82,1.1664e-05,-0.016,21.6
83,1.1666e-05,-0.016,21.6
84,1.1668e-05,-0.008,21.6
85,1.167e-05,-0.008,21.6
86,1.1672e-05,-0.016,21.6
87,1.1674e-05,-0.016,22.4
88,1.1676e-05,-0.016,22.4
89,1.1678e-05,-0.008,22.4
90,1.168e-05,-0.008,22.4
91,1.1682e-05,-0.016,22.4
92,1.1684e-05,-0.016,22.4
93,1.1686e-05,-0.008,22.4
94,1.1688e-05,-0.016,22.4
95,1.169e-05,-0.016,22.4
96,1.1692e-05,-0.008,22.4
97,1.1694e-05,-0.016,22.4
98,1.1696e-05,-0.016,22.4
99,1.1698e-05,-0.016,22.4
100,1.17e-05,-0.008,22.4
101,1.1702e-05,-0.008,22.4
