,X,CH1,CH2,I
133,1.1766e-05,-0.016,24.0,-0.32
134,1.1768e-05,-0.016,24.0,-0.32
135,1.177e-05,-0.016,25.6,-0.32
136,1.1772e-05,-0.008,24.0,-0.16
137,1.1774e-05,-0.016,25.6,-0.32
138,1.1776e-05,-0.016,24.0,-0.32
139,1.1778e-05,-0.016,25.6,-0.32
140,1.178e-05,-0.016,25.6,-0.32
141,1.1782e-05,-0.008,25.6,-0.16
142,1.1784e-05,-0.016,25.6,-0.32
143,1.1786e-05,-0.016,25.6,-0.32
144,1.1788e-05,-0.016,25.6,-0.32
145,1.179e-05,-0.008,25.6,-0.16
146,1.1792e-05,-0.016,25.6,-0.32
147,1.1794e-05,-0.016,25.6,-0.32
148,1.1796e-05,-0.016,25.6,-0.32
149,1.1798e-05,-0.016,25.6,-0.32
150,1.18e-05,-0.016,25.6,-0.32
151,1.1802e-05,-0.016,25.6,-0.32
152,1.1804e-05,-0.008,25.6,-0.16
153,1.1806e-05,-0.016,25.6,-0.32
154,1.1808e-05,-0.016,25.6,-0.32
155,1.181e-05,-0.016,25.6,-0.32
156,1.1812e-05,-0.016,25.6,-0.32
157,1.1814e-05,-0.016,25.6,-0.32
158,1.1816e-05,-0.016,25.6,-0.32
159,1.1818e-05,-0.016,25.6,-0.32
160,1.182e-05,-0.016,25.6,-0.32
161,1.1822e-05,-0.016,25.6,-0.32
162,1.1824e-05,-0.016,25.6,-0.32
163,1.1826e-05,-0.016,25.6,-0.32
164,1.1828e-05,-0.016,25.6,-0.32
165,1.183e-05,-0.016,25.6,-0.32
166,1.1832e-05,-0.016,25.6,-0.32
167,1.1834e-05,-0.016,25.6,-0.32
168,1.1836e-05,-0.016,25.6,-0.32
169,1.1838e-05,-0.016,25.6,-0.32
170,1.184e-05,-0.016,25.6,-0.32
171,1.1842e-05,-0.016,25.6,-0.32
172,1.1844e-05,-0.016,24.0,-0.32
173,1.1846e-05,-0.016,25.6,-0.32
174,1.1848e-05,-0.016,24.0,-0.32
175,1.185e-05,-0.016,24.0,-0.32
176,1.1852e-05,-0.016,24.0,-0.32
177,1.1854e-05,-0.016,24.0,-0.32
178,1.1856e-05,-0.016,24.0,-0.32
179,1.1858e-05,-0.016,24.0,-0.32
180,1.186e-05,-0.016,24.0,-0.32
181,1.1862e-05,-0.016,24.0,-0.32
182,1.1864e-05,-0.016,24.0,-0.32
183,1.1866e-05,-0.016,24.0,-0.32
184,1.1868e-05,-0.016,24.0,-0.32
185,1.187e-05,-0.016,24.0,-0.32
186,1.1872000000000001e-05,-0.016,24.0,-0.32
187,1.1874e-05,-0.016,24.0,-0.32
188,1.1876e-05,-0.016,24.0,-0.32
189,1.1878e-05,-0.016,24.0,-0.32
190,1.188e-05,-0.016,24.0,-0.32
191,1.1882e-05,-0.016,24.0,-0.32
192,1.1884e-05,-0.016,23.2,-0.32
193,1.1886e-05,-0.016,23.2,-0.32
194,1.1888e-05,-0.016,23.2,-0.32
195,1.189e-05,-0.016,23.2,-0.32
196,1.1892e-05,-0.016,23.2,-0.32
197,1.1894e-05,-0.016,23.2,-0.32
198,1.1896e-05,-0.016,23.2,-0.32
199,1.1898e-05,-0.016,23.2,-0.32
200,1.19e-05,-0.016,23.2,-0.32
201,1.1902e-05,-0.016,23.2,-0.32
202,1.1904e-05,-0.016,22.4,-0.32
203,1.1906000000000001e-05,-0.016,22.4,-0.32
204,1.1908e-05,-0.016,22.4,-0.32
205,1.191e-05,-0.016,22.4,-0.32
206,1.1912e-05,-0.016,22.4,-0.32
207,1.1914e-05,-0.016,22.4,-0.32
208,1.1916e-05,-0.016,22.4,-0.32
209,1.1918e-05,-0.016,22.4,-0.32
210,1.192e-05,-0.016,22.4,-0.32
211,1.1922e-05,-0.016,22.4,-0.32
212,1.1924e-05,-0.016,22.4,-0.32
213,1.1926e-05,-0.016,21.6,-0.32
214,1.1928e-05,-0.016,21.6,-0.32
215,1.193e-05,-0.016,21.6,-0.32
216,1.1932e-05,-0.016,21.6,-0.32
217,1.1934e-05,-0.016,21.6,-0.32
218,1.1936e-05,-0.016,21.6,-0.32
219,1.1938e-05,-0.016,21.6,-0.32
220,1.1940000000000001e-05,-0.016,21.6,-0.32
221,1.1942e-05,-0.016,21.6,-0.32
222,1.1944e-05,-0.016,20.8,-0.32
223,1.1946e-05,-0.016,20.8,-0.32
224,1.1948e-05,-0.016,20.8,-0.32
225,1.195e-05,-0.016,20.8,-0.32
226,1.1952e-05,-0.016,20.8,-0.32
227,1.1954e-05,-0.016,20.8,-0.32
228,1.1956e-05,-0.016,20.8,-0.32
229,1.1958e-05,-0.016,20.8,-0.32
230,1.196e-05,-0.016,20.0,-0.32
231,1.1962e-05,-0.016,20.0,-0.32
232,1.1964e-05,-0.016,20.0,-0.32
233,1.1966e-05,-0.016,20.0,-0.32
234,1.1968e-05,-0.016,20.0,-0.32
235,1.197e-05,-0.016,20.0,-0.32
236,1.1972e-05,-0.016,20.0,-0.32
237,1.1974000000000001e-05,-0.016,20.0,-0.32
238,1.1976e-05,-0.016,20.0,-0.32
239,1.1978e-05,-0.016,20.0,-0.32
240,1.198e-05,-0.016,19.2,-0.32
241,1.1982e-05,-0.016,19.2,-0.32
242,1.1984e-05,-0.016,19.2,-0.32
243,1.1986e-05,-0.016,19.2,-0.32
244,1.1988e-05,-0.016,19.2,-0.32
245,1.199e-05,-0.016,19.2,-0.32
246,1.1992e-05,-0.016,19.2,-0.32
247,1.1994e-05,-0.016,19.2,-0.32
248,1.1996e-05,-0.008,18.4,-0.16
249,1.1998e-05,-0.016,18.4,-0.32
250,1.2e-05,-0.016,18.4,-0.32
251,1.2002e-05,-0.016,18.4,-0.32
252,1.2004e-05,-0.016,18.4,-0.32
253,1.2006e-05,-0.016,18.4,-0.32
254,1.2008000000000001e-05,-0.016,18.4,-0.32
255,1.201e-05,-0.016,18.4,-0.32
256,1.2012e-05,-0.016,17.6,-0.32
257,1.2014e-05,-0.016,17.6,-0.32
258,1.2016e-05,-0.016,17.6,-0.32
